Basic Income, Rent, Food, Transportation, Utilities, Clothing, Leisure, Healthcare, People
54567,18396,9382,4071,1783,1687,1022,1949,1
33997,18893,12011,6956,2964,2076,1100,3040,2
64614,13521,18116,12193,7404,3396,2781,2728,3
51549,15994,27709,7954,6527,3836,2566,6020,4
84035,49190,14860,7043,4379,3350,1394,4872,1
93565,41014,21751,10593,7054,3609,2214,4895,2
74363,63148,22711,8438,11041,3535,2731,5704,3
150811,34876,24951,11680,7038,7984,4136,7356,4
153123,22076,32796,8539,8470,4088,4014,6218,1
158094,19091,29450,11681,8790,5364,2433,5053,2
131361,18541,31068,14114,9551,6566,4505,8094,3
144547,16842,51547,17350,8699,6687,5064,7377,4
199847,43029,31889,17860,10837,7169,4591,6274,1
179825,47362,71695,15541,15386,6674,3970,7760,2
168163,45262,51116,21444,10381,8806,3357,6834,3
198456,33535,52380,25423,23262,8239,3831,9708,4
289911,41568,42516,18433,9070,10391,4078,9510,1
453728,44308,62986,23064,18213,10521,7002,12066,2
233503,53239,61000,35417,14166,9008,11217,19822,3
340192,43027,83750,43592,21578,19899,8706,20779,4
55691,16842,10462,4513,3094,2264,1123,1784,1
58383,18681,14983,6697,4166,2725,1271,2472,2
43351,18268,19436,9886,5813,3245,1653,2890,3
44893,19462,20230,9723,5521,3745,2355,3052,4
98115,49346,18528,8138,5156,2821,2017,4085,1
95201,39131,25147,8732,5628,3970,2185,4637,2
86122,44558,29445,9271,7355,5636,2371,5082,3
127142,50632,41798,15461,7669,5687,3117,7616,4
133825,17106,26422,8755,8220,3448,3148,4228,1
149340,19981,35535,12469,7207,4647,4027,5699,2
104402,17502,38285,14403,9618,6162,4285,6837,3
151266,17954,44098,17502,9777,6547,3838,7173,4
188027,43503,29771,16969,10407,5670,3732,7966,1
194470,44405,44510,20417,12241,7256,4964,9804,2
170535,54772,45335,19062,13532,7502,5422,8753,3
187490,48196,54396,18598,18516,8187,5924,8916,4
287130,41079,41965,21565,13951,11276,5282,9341,1
258749,42740,55305,28520,14750,12076,6999,12693,2
306580,42070,64322,32392,21632,13772,7133,15691,3
258279,46635,66494,35461,22904,15517,10276,14143,4
65937,18073,9958,3892,1658,1546,1134,1943,1
35026,18146,13752,8117,3443,2297,894,2814,2
55696,15454,17985,11845,7263,4217,2070,2333,3
56703,16942,30261,7690,7384,4155,2821,5252,4
78778,50611,13380,6981,4781,3273,1444,5037,1
